datetime,open,high,low,close,volume
2021-10-12,162.85001,163.37650,161.81400,162.36650,36392000
2021-10-11,163.75000,164.62950,161.90500,162.31500,40684000
2021-10-08,165.85001,166.07150,164.41000,164.43100,39964000
2021-10-07,164.57700,166.28751,164.15300,165.12151,48182000
2021-10-06,160.67650,163.21700,159.93100,163.10049,50660000
2021-10-05,160.22501,163.03650,160.12300,161.05000,65384000
2021-10-04,163.96950,163.99950,158.81250,159.48900,90462000
2021-10-01,164.45050,165.45850,162.79700,164.16299,56712000
2021-09-30,165.80000,166.39250,163.69949,164.25200,56848000
2021-09-29,166.10550,167.56500,164.89349,165.05600,51246000
2021-09-28,167.88550,168.45950,164.50500,165.79800,88616000
2021-09-27,168.57500,170.77850,166.98050,170.28999,72690000
2021-09-24,170.10049,171.46300,169.67000,171.27600,42324000
2021-09-23,169.00250,171.44800,169.00250,170.80000,47588000
2021-09-22,167.55000,169.45000,167.05251,169.00250,48228000
2021-09-21,168.75000,168.98500,166.61951,167.18150,55618000
2021-09-20,169.80000,170.95000,165.25050,167.78650,93382000
2021-09-17,174.42050,174.87050,172.60651,173.12601,92332000
2021-09-16,172.99800,174.62750,172.30701,174.41200,51672000
2021-09-15,172.12601,174.27100,170.10049,173.78951,59150000
2021-09-14,173.77750,174.34050,171.88550,172.50000,38738000
2021-09-13,174.14000,174.89799,171.89999,172.85851,51380000
2021-09-10,175.09151,175.42250,173.14549,173.45750,47946000
2021-09-09,176.30099,177.49950,174.01849,174.20799,54384000
2021-09-08,175.58250,177.28149,174.78349,176.27499,61068000
2021-09-07,173.89999,176.40450,173.84700,175.46449,54758000
2021-09-03,172.60001,174.13350,171.82201,173.90250,51514000
2021-09-02,174.73801,175.59801,172.75000,173.15601,58474000
2021-09-01,174.82001,176.35001,173.76199,173.95000,72598000
2021-08-31,171.24001,173.62900,169.77950,173.53951,87128000
2021-08-30,167.87151,172.25000,167.76100,171.07851,63844000
2021-08-27,166.66150,167.61600,165.68750,167.48151,48048000
2021-08-26,164.95000,166.60001,164.80000,165.80000,41976000
2021-08-25,165.49350,166.05000,164.30750,164.95900,33606000
2021-08-24,164.00000,165.77451,163.72900,165.28900,51036000
2021-08-23,160.59500,164.04500,160.50050,163.29350,65362000
2021-08-20,160.19350,160.39050,158.78799,159.99750,67168000
2021-08-19,159.70100,161.64999,159.12300,159.38750,75658000
2021-08-18,162.09950,162.70500,160.00000,160.06100,56086000
2021-08-17,163.87500,164.02451,161.28400,162.09801,67758000
2021-08-16,164.14999,165.00000,160.55650,164.94949,66394000
2021-08-13,165.28349,165.30350,164.14999,164.69850,41134000
2021-08-12,164.50000,165.72549,163.48351,165.17500,46282000
2021-08-11,166.57249,166.88499,163.88950,164.60550,58944000
2021-08-10,167.25050,167.89999,165.75000,166.03400,48252000
2021-08-09,167.18050,167.74400,166.42599,167.09351,42964000
2021-08-06,168.75000,168.75000,166.45200,167.24699,52752000
2021-08-05,167.81100,169.45000,167.04601,168.79950,48670000
2021-08-04,168.96750,169.44400,167.27800,167.73599,43678000
2021-08-03,167.03600,169.55000,164.98849,168.31200,83146000
2021-08-02,167.65500,167.94600,165.85001,166.57401,67078000
2021-07-30,167.39751,168.40700,165.34900,166.37950,199312000
2021-07-29,181.38750,181.89751,179.00050,179.99600,110400000
2021-07-28,181.68900,182.92101,180.05000,181.51601,59988000
2021-07-27,184.92500,184.92500,179.30750,181.31950,82638000
2021-07-26,183.65849,185.60400,182.36250,184.99100,58002000
2021-07-23,182.00000,183.30550,181.10201,182.83200,48726000
2021-07-22,179.36150,182.00101,179.11349,181.90150,65308000
2021-07-21,178.81900,179.32249,177.18201,179.25999,46380000
2021-07-20,178.36600,179.60001,175.89999,178.65950,65114000
2021-07-19,176.62900,177.51050,174.95799,177.47951,75692000
2021-07-16,181.66550,182.30299,178.52299,178.68150,80874000
2021-07-15,184.71001,184.77000,181.04601,181.56000,63706000
2021-07-14,185.44250,185.88300,183.04150,184.08400,65932000
2021-07-13,185.10500,188.65401,183.56599,183.86800,76918000
2021-07-12,187.20000,187.86450,184.83949,185.92751,51432000
2021-07-09,186.12601,187.39999,184.67000,185.96700,74964000
2021-07-08,182.17799,187.99950,181.05600,186.57050,103612000
2021-07-07,185.86900,186.71001,183.94550,184.82899,106562000
2021-07-06,176.50549,184.27400,176.45000,183.78700,134896000
2021-07-02,172.58200,175.58600,171.84599,175.54900,63388000
2021-07-01,171.73050,172.85001,170.47099,171.64850,40742000
2021-06-30,172.05299,173.58000,171.75000,172.00800,48080000
2021-06-29,171.94099,172.80150,171.15150,172.40700,41968000
2021-06-28,170.80000,172.39999,170.67551,172.19450,44856000
2021-06-25,173.20000,173.24100,169.70900,170.07300,78820000
2021-06-24,175.38200,176.24300,171.54250,172.45399,76640000
2021-06-23,175.25000,176.05000,174.16000,175.19099,56266000
2021-06-22,172.90300,176.18900,172.80450,175.27200,66902000
2021-06-21,173.82100,174.10001,171.70000,172.69800,65542000
2021-06-18,173.99950,175.35001,173.68550,174.34500,104954000
2021-06-17,170.15900,174.86000,170.05000,174.46201,102730000
2021-06-16,169.60001,171.31750,168.02650,170.76250,84056000
2021-06-15,169.20000,169.84950,168.15550,169.15649,48524000
2021-06-14,167.34151,169.25000,166.77499,169.19350,51394000
2021-06-11,167.48250,168.32899,166.67250,167.34151,56348000
2021-06-10,164.10049,167.55000,164.05750,167.48250,69530000
2021-06-09,163.64349,164.87900,163.53500,164.05750,49110000
2021-06-08,161.13049,163.97650,160.90050,163.20551,68334000
2021-06-07,159.86650,160.39999,158.61000,159.90050,44316000
2021-06-04,160.60001,161.05000,159.94051,160.31100,44994000
2021-06-03,160.21150,160.72200,159.20151,159.35049,47966000
2021-06-02,161.15500,161.75000,160.39999,161.69949,40290000
